tender_number,tender_title,archetype,legal_name,pan,gstin,udyam_number,submission_notes,documents_submitted,documents_missing,expected_overall_status,expected_failing_requirement_codes,expected_failure_status,ground_truth_reasoning,watermark
GEM/2026/B/SAFETY-001,Supply of Industrial Personal Protective Equipment (PPE) and Safety Gear,Clean,Suryodaya Safety Systems Pvt Ltd,AABCS1234C,33AABCS1234C1Z5,UDYAM-TN-03-0012345,All documents valid and consistent across sources,PAN;GST_CERTIFICATE;UDYAM_CERTIFICATE;BIS_LICENSE;OEM_AUTH_LETTER;MII_DECLARATION;EMD_INSTRUMENT;EXPERIENCE_CERT;FINANCIAL_STATEMENT,None,PASS,None,None,Every mandatory requirement has matching valid evidence from source or upload,SYNTHETIC DEMONSTRATION DATA
GEM/2026/B/SAFETY-001,Supply of Industrial Personal Protective Equipment (PPE) and Safety Gear,Missing-doc,Vendhar Fire Solutions,AAJCV5678D,33AAJCV5678D1Z2,,Bidder is a dealer (not manufacturer) but never uploaded the OEM authorization letter,PAN;GST_CERTIFICATE;BIS_LICENSE;MII_DECLARATION;EMD_INSTRUMENT;EXPERIENCE_CERT;FINANCIAL_STATEMENT,OEM_AUTH_LETTER,FAIL,REQ-OEM-AUTH-01,MISSING,Mandatory requirement has zero submitted document and zero verification result to evaluate against,SYNTHETIC DEMONSTRATION DATA
GEM/2026/B/SAFETY-001,Supply of Industrial Personal Protective Equipment (PPE) and Safety Gear,Mismatch,Kaveri PPE Traders,AACFK9012E,33AACFK9012E1Z8,,GST certificate uploaded is registered under 'Kaveri PPE Distributors' not the bidding entity 'Kaveri PPE Traders',PAN;GST_CERTIFICATE;BIS_LICENSE;OEM_AUTH_LETTER;MII_DECLARATION;EMD_INSTRUMENT;EXPERIENCE_CERT;FINANCIAL_STATEMENT,None,FAIL,REQ-GST-01,MISMATCH,Legal name on the GST verification response does not match the bidder's registered legal_name field,SYNTHETIC DEMONSTRATION DATA
GEM/2026/B/SAFETY-001,Supply of Industrial Personal Protective Equipment (PPE) and Safety Gear,Expired-cert,Anbu Safety Equipments,AAECA3456F,33AAECA3456F1Z4,,BIS license for the quoted fire suit category expired 4 months before bid submission date,PAN;GST_CERTIFICATE;BIS_LICENSE;OEM_AUTH_LETTER;MII_DECLARATION;EMD_INSTRUMENT;EXPERIENCE_CERT;FINANCIAL_STATEMENT,None,FAIL,REQ-BIS-CERT-01,FAIL,BIS license validity end date precedes tender submission date; certificate present but not currently valid,SYNTHETIC DEMONSTRATION DATA
GEM/2026/B/SAFETY-001,Supply of Industrial Personal Protective Equipment (PPE) and Safety Gear,Borderline,Thiruvalluvar Industrial Supplies,AAFCT7890G,33AAFCT7890G1Z1,,Average 3-year turnover computed at INR 49.6 Lakh against an INR 50 Lakh threshold; FY3 figures are provisional/unaudited,PAN;GST_CERTIFICATE;BIS_LICENSE;OEM_AUTH_LETTER;MII_DECLARATION;EMD_INSTRUMENT;EXPERIENCE_CERT;FINANCIAL_STATEMENT,None,REQUIRES_MANUAL_REVIEW,REQ-TURNOVER-01,MANUAL_REVIEW,Value is within ~1% of threshold and the supporting FY is unaudited; deterministic pass/fail is unsafe without officer judgment,SYNTHETIC DEMONSTRATION DATA
GEM/2026/S/AMC-002,Comprehensive Annual Maintenance Contract (AMC) for Plant Fire & Safety Systems,Clean,Nandhi Engineering Services,AABCN2345H,33AABCN2345H1Z7,,All documents valid and consistent across sources,PAN;GST_CERTIFICATE;EPFO_ESI_CERT;MANPOWER_LIST;EMD_INSTRUMENT;EXPERIENCE_CERT;FINANCIAL_STATEMENT;SLA_ACCEPTANCE,None,PASS,None,None,Every mandatory requirement has matching valid evidence,SYNTHETIC DEMONSTRATION DATA
GEM/2026/S/AMC-002,Comprehensive Annual Maintenance Contract (AMC) for Plant Fire & Safety Systems,Missing-doc,SPK Facility Management,AAKFS6789J,33AAKFS6789J1Z3,,No EPFO or ESI registration certificate was uploaded with the bid,PAN;GST_CERTIFICATE;MANPOWER_LIST;EMD_INSTRUMENT;EXPERIENCE_CERT;FINANCIAL_STATEMENT;SLA_ACCEPTANCE,EPFO_ESI_CERT,FAIL,REQ-EPFO-ESIC-01,MISSING,Mandatory labour-compliance requirement has no submitted document,SYNTHETIC DEMONSTRATION DATA
GEM/2026/S/AMC-002,Comprehensive Annual Maintenance Contract (AMC) for Plant Fire & Safety Systems,Mismatch,Muruga Technical Services,AALFM0123K,33AALFM0123K1Z9,,"PAN uploaded belongs to 'Muruga Technical Solutions Pvt Ltd',  a differently registered entity from the bidder",PAN;GST_CERTIFICATE;EPFO_ESI_CERT;MANPOWER_LIST;EMD_INSTRUMENT;EXPERIENCE_CERT;FINANCIAL_STATEMENT;SLA_ACCEPTANCE,None,FAIL,REQ-PAN-01,MISMATCH,PAN verification response legal name does not match bidder legal_name field,SYNTHETIC DEMONSTRATION DATA
GEM/2026/S/AMC-002,Comprehensive Annual Maintenance Contract (AMC) for Plant Fire & Safety Systems,Expired-cert,Coromandel Plant Services,AAMCC4567L,33AAMCC4567L1Z6,,ESI registration lapsed 2 months prior to submission due to a renewal delay,PAN;GST_CERTIFICATE;EPFO_ESI_CERT;MANPOWER_LIST;EMD_INSTRUMENT;EXPERIENCE_CERT;FINANCIAL_STATEMENT;SLA_ACCEPTANCE,None,FAIL,REQ-EPFO-ESIC-01,FAIL,ESI registration status is Inactive as of the submission date despite a certificate being on file,SYNTHETIC DEMONSTRATION DATA
GEM/2026/S/AMC-002,Comprehensive Annual Maintenance Contract (AMC) for Plant Fire & Safety Systems,Borderline,Vetri Maintenance Co,AANCV8901M,33AANCV8901M1Z2,,Manpower list shows 5 certified technicians against a 6-technician minimum; 2 additional hires' certifications are pending issuance,PAN;GST_CERTIFICATE;EPFO_ESI_CERT;MANPOWER_LIST;EMD_INSTRUMENT;EXPERIENCE_CERT;FINANCIAL_STATEMENT;SLA_ACCEPTANCE,None,REQUIRES_MANUAL_REVIEW,REQ-MANPOWER-01,MANUAL_REVIEW,Shortfall is small and resolvable within the contract mobilisation window; not a clean pass or fail,SYNTHETIC DEMONSTRATION DATA
