tender_number,archetype,legal_name,document_type,file_path,flaw_injected,expected_overall_status
GEM/2026/B/SAFETY-001,Clean,Suryodaya Safety Systems Pvt Ltd,PAN,synthetic_documents/SAFETY-001_Clean_Suryodaya_Safety_Systems_Pvt_Ltd/PAN.pdf,NO,PASS
GEM/2026/B/SAFETY-001,Clean,Suryodaya Safety Systems Pvt Ltd,GST_CERTIFICATE,synthetic_documents/SAFETY-001_Clean_Suryodaya_Safety_Systems_Pvt_Ltd/GST_CERTIFICATE.pdf,NO,PASS
GEM/2026/B/SAFETY-001,Clean,Suryodaya Safety Systems Pvt Ltd,UDYAM_CERTIFICATE,synthetic_documents/SAFETY-001_Clean_Suryodaya_Safety_Systems_Pvt_Ltd/UDYAM_CERTIFICATE.pdf,NO,PASS
GEM/2026/B/SAFETY-001,Clean,Suryodaya Safety Systems Pvt Ltd,BIS_LICENSE,synthetic_documents/SAFETY-001_Clean_Suryodaya_Safety_Systems_Pvt_Ltd/BIS_LICENSE.pdf,NO,PASS
GEM/2026/B/SAFETY-001,Clean,Suryodaya Safety Systems Pvt Ltd,OEM_AUTH_LETTER,synthetic_documents/SAFETY-001_Clean_Suryodaya_Safety_Systems_Pvt_Ltd/OEM_AUTH_LETTER.pdf,NO,PASS
GEM/2026/B/SAFETY-001,Clean,Suryodaya Safety Systems Pvt Ltd,MII_DECLARATION,synthetic_documents/SAFETY-001_Clean_Suryodaya_Safety_Systems_Pvt_Ltd/MII_DECLARATION.pdf,NO,PASS
GEM/2026/B/SAFETY-001,Clean,Suryodaya Safety Systems Pvt Ltd,EMD_INSTRUMENT,synthetic_documents/SAFETY-001_Clean_Suryodaya_Safety_Systems_Pvt_Ltd/EMD_INSTRUMENT.pdf,NO,PASS
GEM/2026/B/SAFETY-001,Clean,Suryodaya Safety Systems Pvt Ltd,EXPERIENCE_CERT,synthetic_documents/SAFETY-001_Clean_Suryodaya_Safety_Systems_Pvt_Ltd/EXPERIENCE_CERT.pdf,NO,PASS
GEM/2026/B/SAFETY-001,Clean,Suryodaya Safety Systems Pvt Ltd,FINANCIAL_STATEMENT,synthetic_documents/SAFETY-001_Clean_Suryodaya_Safety_Systems_Pvt_Ltd/FINANCIAL_STATEMENT.pdf,NO,PASS
GEM/2026/B/SAFETY-001,Missing-doc,Vendhar Fire Solutions,PAN,synthetic_documents/SAFETY-001_Missing-doc_Vendhar_Fire_Solutions/PAN.pdf,NO,FAIL
GEM/2026/B/SAFETY-001,Missing-doc,Vendhar Fire Solutions,GST_CERTIFICATE,synthetic_documents/SAFETY-001_Missing-doc_Vendhar_Fire_Solutions/GST_CERTIFICATE.pdf,NO,FAIL
